timestamp,visibility_mean,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,C_HH,C_VV,C_DD,C_AA,C_HV,C_VH,C_DA,C_AD
1763480509.203081,0.01,-1.0,0.0,0.495,1.0,0.5,0,0,0,0,0,1,0,0
1763480509.729745,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480510.255038,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480510.780641,0.5,1.0,0.0,0.25,0.0,0.5,1,0,0,0,0,0,0,0
1763480511.2978477,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480511.8312075,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480512.3569326,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480512.891122,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480513.415605,0.01,-1.0,-1.0,0.495,1.0,1.0,0,0,0,0,0,1,1,0
1763480513.9466496,0.01,-1.0,0.0,0.495,1.0,0.5,0,0,0,0,0,1,0,0
1763480514.4782338,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480515.0093288,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480515.536384,0.5,1.0,0.0,0.25,0.0,0.5,1,0,0,0,0,0,0,0
1763480516.0641959,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480516.5900571,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480517.1223993,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480517.6372805,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480518.1672797,0.01,0.0,-1.0,0.495,0.5,1.0,0,0,0,0,0,0,0,1
1763480518.6993988,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480519.223435,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480519.744125,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480520.285769,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480520.810536,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480521.334539,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480521.8643534,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480522.3900132,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480522.9064174,0.01,0.0,-1.0,0.495,0.5,1.0,0,0,0,0,0,0,1,0
1763480523.4398534,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480523.963733,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480524.4912302,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480525.0146039,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480525.5406916,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480526.0717056,0.5,0.0,1.0,0.25,0.5,0.0,0,0,1,0,0,0,0,0
1763480526.6030405,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480527.1264687,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480527.659195,0.5,0.0,1.0,0.25,0.5,0.0,0,0,0,1,0,0,0,0
1763480528.1826465,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480528.722296,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480529.2434254,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480529.775385,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480530.2987874,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480530.8326488,0.01,-1.0,0.0,0.495,1.0,0.5,0,0,0,0,1,0,0,0
1763480531.3624654,0.5,1.0,0.0,0.25,0.0,0.5,1,0,0,0,0,0,0,0
1763480531.8866093,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480532.4064655,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480532.9334836,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480533.463666,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480533.989964,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480534.5171657,0.01,0.0,0.0,0.495,0.5,0.5,1,0,0,0,0,1,0,0
1763480535.0404642,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480535.5634458,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480536.0982158,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480536.615512,0.01,0.0,0.0,0.495,0.5,0.5,0,0,0,0,0,0,0,0
1763480562.1792245,0.3333,-0.3333,1.0,0.3333,0.6667,0.0,1,0,2,0,0,2,0,0
1763480567.4081113,0.01,0.0,-0.3333,0.495,0.5,0.6667,0,0,1,0,0,0,1,1
1763480572.64121,0.01,0.0,0.0,0.495,0.5,0.5,0,1,0,0,1,0,0,0
1763480577.8634236,0.01,-0.5,0.0,0.495,0.75,0.5,1,0,0,0,3,0,0,0
1763480583.0973349,0.01,-0.5,-1.0,0.495,0.75,1.0,0,1,0,0,2,1,1,0
1763480588.3243754,0.01,0.0,-1.0,0.495,0.5,1.0,0,1,0,0,1,0,0,1
1763480593.5776887,0.01,0.0,0.0,0.495,0.5,0.5,0,0,1,0,0,0,1,0
1763480598.7997828,0.1667,0.0,0.3333,0.4167,0.5,0.3333,0,1,1,1,1,0,1,0
1763480604.0318837,0.99,1.0,1.0,0.005,0.0,0.0,1,0,1,1,0,0,0,0
1763480609.2802231,0.01,-0.3333,0.0,0.495,0.6667,0.5,0,1,0,0,2,0,0,0
